datetime,avg_ping,min_ping,max_ping,mdev_ping
2022-03-31T01:14:22.914976,27.012,13.351,32.121,6.278
2022-03-31T02:14:13.889223,22.500,14.117,31.993,7.774
2022-03-31T03:14:20.349895,23.087,13.118,36.617,8.825
2022-03-31T04:14:13.785554,22.330,13.072,34.148,9.588
2022-03-31T05:14:14.031888,22.661,13.079,35.214,9.480
2022-03-31T06:14:18.960083,20.972,14.248,32.019,7.100
2022-03-31T07:14:13.826384,16.896,12.922,31.133,5.856
2022-03-31T08:14:23.502212,17.897,12.952,32.056,7.132
2022-03-31T09:14:13.593810,19.286,13.971,30.919,6.537
2022-03-31T10:14:14.863940,25.238,14.484,37.089,9.002
2022-03-31T11:14:14.645460,18.537,14.079,31.132,7.273
2022-03-31T12:14:14.575371,19.669,14.127,36.076,8.345
2022-03-31T13:14:13.980233,16.516,12.992,29.134,5.000
2022-03-31T14:14:14.560257,23.361,13.870,47.026,11.566
2022-03-31T15:14:13.935710,21.530,13.095,36.483,9.196
2022-03-31T16:14:15.311786,27.917,15.105,33.759,7.596
2022-03-31T17:14:14.799835,18.567,14.106,32.500,7.010
2022-03-31T17:28:53.743174,23.761,14.357,33.348,8.920
2022-03-31T17:34:19.737707,21.910,13.190,32.231,8.913
2022-03-31T18:14:14.122257,22.992,13.027,32.302,8.448
2022-03-31T19:14:13.296246,19.995,13.102,31.171,7.192
2022-03-31T20:14:12.811981,26.690,14.436,46.266,10.854
2022-03-31T21:14:13.647818,16.101,13.215,20.096,1.961
2022-03-31T22:14:12.981434,15.951,13.653,18.446,1.441
2022-03-31T23:14:12.975073,15.352,13.283,18.877,1.623
2022-04-01T00:14:13.616487,15.899,13.171,17.257,1.431
2022-04-01T01:14:13.084838,15.351,14.110,18.060,1.214
2022-04-01T02:14:13.088908,15.617,13.138,18.053,1.643
2022-04-01T03:14:13.843566,16.028,13.084,17.160,1.316
2022-04-01T04:14:13.137998,15.194,14.096,17.044,0.911
2022-04-01T05:14:14.653361,16.577,14.098,20.993,2.222
2022-04-01T06:14:13.567251,15.630,14.084,17.967,1.390
2022-04-01T07:14:13.881278,15.639,13.161,17.271,1.363
2022-04-01T08:14:13.217852,15.477,14.066,17.038,1.094
2022-04-01T09:14:13.330940,15.232,13.113,17.185,1.189
2022-04-01T10:14:12.804925,15.319,13.041,18.036,1.387
2022-04-01T11:14:12.624256,18.198,13.046,28.783,5.278
2022-04-01T12:14:13.640964,14.688,13.709,16.217,0.761
2022-04-01T13:14:13.541197,15.856,13.078,24.054,3.219
2022-04-01T14:14:13.000944,14.737,13.877,15.452,0.588
2022-04-01T15:14:13.222298,15.477,13.098,20.100,2.026
2022-04-01T16:14:14.205269,15.521,14.017,17.376,1.380
2022-04-01T17:14:12.711070,15.385,13.960,17.362,1.265
2022-04-01T18:14:13.229802,14.938,13.116,18.960,1.797
2022-04-01T19:14:13.371545,15.358,14.043,17.064,1.177
2022-04-01T20:14:13.577001,15.050,13.168,17.429,1.252
2022-04-01T21:14:13.496659,15.168,14.155,16.308,0.831
2022-04-01T22:14:13.875593,15.026,13.083,17.486,1.429
2022-04-01T23:14:12.718163,14.785,13.162,17.087,1.122
